termName	cui	tty
Malignant tumor of trigone of urinary bladder	C0496826	disorder
Malignant tumor of vault of bladder	C0496827	disorder
Malignant neoplasm of lateral wall of urinary bladder	C0496828	disorder
Malignant neoplasm of posterior wall of urinary bladder	C0153612	disorder
Malignant neoplasm of head, neck and face	C0153660	disorder
Corticobasal degeneration	C0393570	disorder
Secondary malignant neoplasm of brain and spinal cord	C0153688	disorder
Lymphosarcoma of lymph nodes of multiple sites	C0153711	disorder
Sézary's disease of lymph nodes of multiple sites	C0153817	disorder
Pain in finger	C0239589	finding
Benign neoplasm of eyelid including canthus	C0153983	disorder
Benign neoplasm of skin of upper limb and shoulder	C0153988	disorder
Craniopharyngioma	C0010276	disorder
Carcinoma in situ of breast	C0154084	disorder
Oppositional defiant disorder	C0029121	disorder
Light-for-dates without fetal malnutrition	C1313876	disorder
Neoplasm of uncertain behavior of brain and/or spinal cord	C0154119	disorder
Change of dressing	C0085671	procedure
Carcinoid tumor - morphology	C0007095	morphologic abnormality
Mood swings	C0085633	finding
Uterovaginal prolapse	C0156353	disorder
Non-toxic nodular goiter	C1318500	disorder
Non-toxic uninodular goiter	C0342115	disorder
Iodine hypothyroidism	C0154159	disorder
Pseudoclaudication syndrome	C0152121	disorder
Diabetes mellitus, adult onset, with hyperosmolar coma	C0342297	disorder
Hyperparathyroidism due to renal insufficiency	C0271847	disorder
Type I diabetes mellitus with ulcer	C0579065	disorder
Type I diabetes mellitus - poor control	C0579121	disorder
Type II diabetes mellitus with ulcer	C0579066	disorder
Type II diabetes mellitus with gangrene	C0579122	disorder
Type II diabetes mellitus - poor control	C0579124	disorder
Steroid-induced diabetes	C0342269	disorder
Pituitary-dependent Cushing's disease	C0221406	disorder
Primary hyperaldosteronism	C1384514	disorder
Arthroplasty of knee	C0086511	procedure
Cobalamin deficiency	C0042847	disorder
Waldenstrom's macroglobulinemia	C0024419	disorder
Gouty arthropathy	C0003868	disorder
Chronic urate nephropathy	C0268769	disorder
Hypomagnesemia	C0151723	disorder
Cystic fibrosis	C0010674	disorder
Alpha trait thalassemia	C0472762	disorder
Anemia in neoplastic disease	C0475534	disorder
Chronic anemia	C0581384	disorder
Henoch-Schönlein purpura	C0034152	disorder
Neurofibromatosis syndrome	C0162678	disorder
Communicable disease	C0009450	disorder
Alcohol withdrawal syndrome	C0236663	disorder
Dementia associated with another disease	C0338632	disorder
Simple schizophrenia	C0221520	disorder
Dysfunctional uterine bleeding	C0025874	finding
Schizoaffective schizophrenia in remission	C0338828	disorder
Single major depressive episode, severe, with psychosis	C0338885	disorder
Single major depressive episode, in full remission	C0154408	disorder
Bipolar affective disorder, current episode depression	C0005587	disorder
Atypical depressive disorder	C0154437	disorder
Chronic anxiety	C0581386	finding
Dissociative convulsions	C0349245	disorder
Obsessive-compulsive disorder	C0028768	disorder
Emotionally unstable personality disorder	C0338970	disorder
Continuous chronic alcoholism	C0338785	disorder
Chronic alcoholism in remission	C0338783	disorder
Drug dependence	C1510472	disorder
Opioid dependence in remission	C0338781	disorder
Cocaine dependence in remission	C0154487	disorder
Cannabis dependence, continuous	C0338757	disorder
Cannabis dependence in remission	C0154490	disorder
Amphetamine or psychostimulant dependence in remission	C0338755	disorder
Combined opioid with other drug dependence	C0338734	disorder
Combined drug dependence, excluding opioids	C0338728	disorder
Combined drug dependence, excluding opioid, in remission	C0338732	disorder
Nondependent alcohol abuse, continuous	C0338710	disorder
Nondependent alcohol abuse, episodic	C0338711	disorder
Tobacco dependence in remission	C0338726	disorder
Psychogenic hyperventilation	C0149715	finding
Bruxism (teeth grinding)	C0006325	disorder
Persistent insomnia	C0393758	disorder
Short-sleeper	C0751509	disorder
Brief depressive adjustment reaction	C0001548	disorder
Prolonged depressive adjustment reaction	C0154583	disorder
Mild memory disturbance	C0423927	finding
Change in personality	C0240735	disorder
Child attention deficit disorder	C0004269	disorder
Complication of implant	C0235895	disorder
Pulmonary edema	C0034063	disorder
Psychogenic feeding disorder of infancy and childhood	C0349347	disorder
Lupus anticoagulant disorder	C0311370	disorder
Late effects of intracranial abscess or pyogenic infection	C0154663	disorder
Essential tremor	C0270736	finding
Benign familial tremor	C0393615	finding
Cauda equina syndrome	C0392548	disorder
Generalized non-convulsive epilepsy	C0017332	disorder
Partial epilepsy with impairment of consciousness	C0553587	disorder
Migraine variants	C0042331	disorder
Cluster headache syndrome	C0009088	disorder
Complicated migraine	C0338483	disorder
Cataplexy and narcolepsy	C0751362	disorder
Drug-induced immune thrombocytopenia	C0272290	disorder
Glaucoma associated with vascular disorder	C0154964	disorder
Bell's palsy	C0376175	disorder
Collagenous colitis	C0238067	disorder
Phantom limb	C0031315	disorder
Radial nerve lesions	C0154744	finding
Myopathy due to Sjögren's disease	C0343238	disorder
Retinal round hole without detachment	C0154825	disorder
Horseshoe retinal tear without detachment	C0154826	disorder
Cystoid macular edema	C0024440	disorder
Marfan's syndrome	C0024796	disorder
Insomnia	C0917801	disorder
Open-angle glaucoma - borderline	C0339570	disorder
Angle-closure glaucoma - borderline	C0339571	disorder
Ganglion of tendon sheath	C0158335	disorder
Cataract	C0086543	disorder
Nuclear senile cataract	C0271166	disorder
Total, mature senile cataract	C0152257	disorder
Cataract secondary to ocular disease	C0152259	disorder
After-cataract with vision obscured	C0154998	disorder
Stimulus deprivation amblyopia	C0152189	disorder
Legal blindness USA	C0339711	disorder
Fuchs' corneal dystrophy	C0016781	disorder
Swelling of eyelid	C0560024	finding
Epiphora	C0152227	disorder
Acute exudative otitis media	C0271431	disorder
Congenital nasolacrimal duct obstruction	C0155247	disorder
Acquired nasolacrimal duct stenosis	C0155248	disorder
Orbital cellulitis	C0149507	disorder
Macrocephaly	C0221355	disorder
Esotropia with accommodative compensation	C0155336	disorder
Congenital anomaly of eye	C0015393	disorder
Acute non-suppurative otitis media - serous	C0155415	disorder
Chronic ulcer of skin	C0157738	disorder
Heterozygous thalassemia	C0702157	disorder
Sensorineural hearing loss, bilateral	C0452138	disorder
Lymphadenitis	C0024205	disorder
Non-rheumatic mitral valve stenosis	C0349075	disorder
Benign hypertensive heart disease without congestive cardiac failure	C0392462	disorder
Hypertensive renal disease with renal failure	C0348860	disorder
Hypertensive heart and renal disease with (congestive) heart failure	C0494575	disorder
Hypertensive heart and renal disease with renal failure	C0348879	disorder
Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	C0494576	disorder
Secondary benign hypertension	C0155620	disorder
Angina	C0002962	disorder
Generalized ischemic myocardial dysfunction	C0349782	disorder
Subsequent myocardial infarction	C0348593	disorder
Current tear of semilunar cartilage	C0272839	disorder
Non-rheumatic mitral regurgitation	C0340362	disorder
Aortic incompetence, non-rheumatic	C0340377	disorder
Aortic stenosis, non-rheumatic	C0340372	disorder
Tricuspid incompetence, non-rheumatic	C0340389	disorder
Pulmonary stenosis, non-rheumatic	C0340395	disorder
Paroxysmal atrial tachycardia	C0030587	disorder
Atrial fibrillation and flutter	C0155709	disorder
Subdural hemorrhage - nontraumatic	C0265080	disorder
Cerebral infarction due to embolism of cerebral arteries	C0451675	disorder
Late effects of cerebrovascular disease	C0155732	disorder
Major depression, single episode, in complete remission	C0270470	disorder
Raynaud's disease	C0034734	disorder
Gangrene of foot	C0459830	disorder
Wegener's granulomatosis	C0043092	disorder
Varicose veins of the leg with ulcer	C0553570	disorder
Anal skin tag	C0345903	disorder
Dilation of esophagus	C0740287	procedure
Acute viral pharyngitis	C0396000	disorder
Acute bronchiolitis due to respiratory syncytial virus	C0348799	disorder
Recurrent sinusitis	C0581354	disorder
Pansinusitis	C0558362	disorder
Chronic adenotonsillitis	C0396024	disorder
Unilateral partial vocal cord paralysis	C0155847	disorder
Unilateral total vocal cord paralysis	C0155848	disorder
Bilateral total vocal cord paralysis	C0155850	disorder
Polyp of vocal cord or larynx	C0155851	disorder
Singers' chorditis	C0396053	disorder
Pneumonia and influenza	C0155870	disorder
Pneumonia due to respiratory syncytial virus	C0152413	disorder
Chronic asthmatic bronchitis	C0264348	disorder
Acute exacerbation of chronic obstructive airways disease	C0340044	disorder
Chronic bullous emphysema	C1261120	disorder
Asthma	C0004096	disorder
Generalized epilepsy	C0014548	disorder
Recurrent bronchiectasis	C0339982	disorder
Chronic obstructive pulmonary disease with acute lower respiratory infection	C0348818	disorder
Pneumonitis due to inhalation of food or vomitus	C0260334	disorder
Pleurisy	C0032231	disorder
Spontaneous tension pneumothorax	C0155907	disorder
Diffuse interstitial pulmonary fibrosis	C0085786	disorder
Rhegmatogenous retinal detachment	C0271055	disorder
Paroxysmal nocturnal hemoglobinuria	C0024790	disorder
Periapical abscess	C0031024	disorder
Impacted third molar tooth	C0399551	disorder
Disorder of soft tissue	C0263978	disorder
Tubular adenoma	C0334292	morphologic abnormality
Acute duodenal ulcer	C0341233	disorder
Acute peptic ulcer	C0729245	disorder
Condyloma	C0302180	morphologic abnormality
Gastroduodenitis	C0267166	disorder
Persistent vomiting	C0152165	disorder
Regional ileocolitis	C0267383	disorder
Superior mesenteric vein thrombosis	C0340704	disorder
Sigmoid volvulus	C0149863	disorder
Bleeding diverticulosis	C0581360	disorder
Constipation - functional	C0401146	disorder
Intersphincteric fistula	C0341379	disorder
Rectal abscess	C0149770	disorder
Anal and rectal polyp	C0002753	disorder
Anorectal pain	C0581362	finding
Enterocutaneous fistula	C0341318	disorder
Acute and subacute liver necrosis	C0001308	disorder
Acute hepatic failure	C0162557	disorder
Cirrhosis and chronic liver disease	C0156189	disorder
Chronic active hepatitis	C0520463	disorder
Non-alcoholic fatty liver	C0400966	disorder
Gallbladder calculus with acute cholecystitis and no obstruction	C0400985	disorder
Biliary dyskinesia	C0005416	disorder
Polyp of gallbladder	C0262493	disorder
Primary sclerosing cholangitis	C0566602	disorder
Acute pancreatitis	C0001339	disorder
Acute recurrent pancreatitis	C0267937	disorder
Cyst and pseudocyst of pancreas	C0010623	disorder
Anxiety disorder	C0003469	disorder
Intestinal malabsorption of fat	C0554103	disorder
Chronic focal glomerulonephritis	C0403419	disorder
Atrophy of kidney	C0341698	disorder
Impaired renal function disorder	C0341677	disorder
Staghorn calculus	C0333014	disorder
Postoperative ureteric constriction	C0457205	disorder
Vesicoureteric reflux	C0042580	disorder
Chronic interstitial cystitis	C0600040	disorder
Recurrent cystitis	C0581366	disorder
Diverticulum of bladder	C0156273	disorder
Acontractile detrusor	C0403645	disorder
Hypotonic bladder	C0403647	disorder
Stenosis of urinary meatus	C0431750	disorder
Postoperative urinary tract infection	C0403709	disorder
Recurrent urinary tract infection	C0262655	disorder
Chronic urinary tract infection	C0262421	disorder
Microscopic hematuria	C0239937	disorder
Frank hematuria	C0473237	disorder
Orchitis and epididymitis	C0149881	disorder
Tight foreskin	C0031538	finding
Impotence of organic origin	C0156309	disorder
Female pelvic inflammatory disease	C0242172	disorder
Endometriosis of pelvic peritoneum	C0156345	disorder
Anxiety state	C0700613	finding
Disorder of lung	C0024115	disorder
Enlarged uterus	C0151994	finding
Endometrial cystic hyperplasia	C0010673	disorder
Menopausal flushing	C0600142	finding
Acute gastric ulcer with perforation	C0155970	disorder
Pregnancy complications	C0032962	disorder
Placenta previa with hemorrhage	C0156621	disorder
False labor	C0085598	disorder
Chronic prostatitis	C0085696	disorder
Urinary tract infection following delivery	C0451772	disorder
Pregnancy-related glycosuria	C0403496	disorder
Pre-existing diabetes mellitus, non-insulin-dependent	C0348921	disorder
Mental disorders during pregnancy, childbirth and the puerperium	C0404753	disorder
Transverse lie with antenatal problem	C0426065	disorder
Cephalopelvic disproportion	C0085988	disorder
Cirrhosis of liver	C0023890	disorder
Known or suspected fetal abnormality	C0404596	disorder
Rhesus isoimmunization with antenatal problem	C0473408	disorder
Large-for-dates fetus	C0456091	disorder
Abnormal biochemical finding on antenatal screening of mother	C0451805	finding
Congenital anomaly of skin	C0037268	disorder
Borderline personality disorder	C0006012	disorder
Deliveries by cesarean	C1384674	finding
Occlusion of ureter	C0041956	disorder
Displacement of lumbar intervertebral disc without myelopathy	C0158255	disorder
Hemiparesis	C0018989	disorder
Carbuncle of back	C0343021	disorder
Cellulitis and abscess of finger	C0157691	disorder
Cellulitis and abscess of toe	C0157693	disorder
Cellulitis and abscess of face	C0157696	disorder
Cellulitis of face	C0263136	disorder
Cellulitis and abscess of trunk	C0157698	disorder
Cellulitis and abscess of arm	C0406072	disorder
Cellulitis and abscess of buttock	C0157701	disorder
Cellulitis and abscess of ankle	C0406086	disorder
Pyogenic granuloma	C0085653	disorder
Umbilical granuloma	C0149797	disorder
Abscess of face	C0263097	disorder
Infantile seborrheic dermatitis	C0343047	disorder
Contact dermatitis due to poison ivy	C0162451	disorder
Ocular rosacea	C0406486	disorder
Lupus erythematosus	C0409974	disorder
Discoid lupus erythematosus	C0024138	disorder
Closed fracture of intracapsular section of femur	C0272732	disorder
Corns and callus	C0157726	disorder
Corn - lesion	C0010046	disorder
Localized morphea	C0036420	disorder
Physiological striae	C0152459	disorder
Asteatotic eczema	C0549201	disorder
Skin tag	C0037293	disorder
Actinic keratosis	C0022602	disorder
Cafe-au-lait spots	C0221263	disorder
Screening procedure	C0220908	procedure
Scleroderma	C0011644	disorder
Hyperphosphatemia	C0085681	disorder
Diabetic neuropathic arthropathy	C0343178	disorder
Systemic onset juvenile chronic arthritis	C1384600	disorder
Generalized osteoarthritis	C1384584	disorder
Localized, primary osteoarthritis of the shoulder region	C0263752	disorder
Localized, primary osteoarthritis of the hand	C0263755	disorder
Localized, primary osteoarthritis of the pelvic region and thigh	C0473748	disorder
Localized, primary osteoarthritis of the lower leg	C0263758	disorder
